text,class,cleaned_text
#جمال #خيال #حقيقه #جميل #درر #حكم #أعجبني #حكمه #بقلمي #شوق #بوح #شعر #قصيد #رتويت خمس الاف متابع بـ 200 ريال 458,1,جمال خيال حقيقه جميل در حكم أعجبني حكمه بقلمي شوق بوح شعر قصيد رتويت خمس الاف متابع ب ريال
عندما صعد نيل أرمسترونج على سطح القمر قررنا أن يكون إسهامنا الحضاري إصدار إشاعة أنه سمع الأذان هناك وأسلمالإشاعة أوفر بكتير وهدفها الخير,1,عندما صعد نيل أرمسترونج على سطح القمر قرنا أن يكون إسهامنا الحضاري إصدار إشاعة أنه سمع الأذان هناك وأسلمالإشاعة أوفر بكتير وهدفها الخير
حظ العوالم ! :) #الاهلي_الافريقي,1,حظ العوالم الاهلي الافريقي
اخبار صباحية هبوط البورصة اليومى وتراجع مؤشرها الرئيسي وخسائرالمستثمرين الباهظة بكره تشوفو مصر,1,اخبار صباحية هبوط البورصة اليومى وتراجع مؤشرها الرئيسي وخسائرالمستثمرين الباهظة بكره تشوفو مصر
بعض #الأشكال_الوسخة ف #المرج لما تشوفها تحس انها هربت م الرشاح قبل ما يتردم!,1,بعض الأشكال الوسخة ف المرج لما تشوفها تحس انها هربت م الرشاح قبل ما يتردم
مصطفي بكرى النموذج الكامل للبيادة,1,مصطفي بكرى النموذج الكامل لبيادة
كيف يحشد الرئيس مرسي الجماهير لاسقاط الاعلان الدستوري فيهتفون يسقط حكم العسكر ثم يشيد الرئيس اليوم بالدور الرائع للمجلس العسكريتناقض مؤسف,1,كيف يحشد الرئيس مرسي الجماهير لاسقاط الاعلان الدستوري فيهتفون يسقط حكم العسكر ثم يشيد الرئيس اليوم بالدور الرائع لمجلس العسكريتناقض مؤسف
"صورة الشهيدة ""رضا رمضان ""42 سنة التي استشهدت برصاص قوات أمن الانقلاب #الفيوم #انتخبوا_العرص",1,صورة الشهيدة رضا رمضان سنة التي استشهدت برصاص قوات أمن الانقلاب الفيوم انتخبوا العرص
#يحيي_قدري:مخطط #الإخوان ب #سيناء يؤكد أنهم خطر على #الدولة قال #حزب_الحركة_الوطنية المصرية إن التقرير الذي,1,يحي قدري مخط الإخوان ب سيناء يؤكد أنهم خطر على الدولة قال حزب الحركة الوطنية المصرية إن التقرير الذي
القائمة الأولى للخونة الذين خدعوني بتعريف كلمة مبقوق :),1,القائمة الأولى لخونة الذين خدعوني بتعريف كلمة مبقوق
حقيقه فجرها شباب بمساعدة #الاخوان ومات فيها الشباب #والاخوان واستفاد منها #عبيد_البيادة #انصاف_الاخوان,1,حقيقه فجرها شباب بمساعدة الاخوان ومات فيها الشباب والاخوان واستفاد منها عبيد البيادة انصاف الاخوان
السلطة تمارس إجراما سياسيا ضد الفقراء,1,السلطة تمارس إجراما سياسيا ضد الفقراء
أكبر خسارة خسرناها في ظل نظام مبارك هي الثروة البشرية,1,أكبر خسارة خسرناها في ظل نظام مبارك هي الثروة البشرية
الجيش لم يخون مرسي فقط بل خان الشعب المصري بأكمله,1,الجيش لم يخون مرسي فقط بل خان الشعب المصري بأكمله
كابوس متى ينتهى,1,كابوس متى ينتهى
أجدع حاجة ان التيتى قصدى #السيسى كل ما يحاول يعمل شو اعلامى فى صورة تتقلب عليه #هاشتاج سخرية وده يبين انه حمار اخر حاجة #السيسى_هايصالح,1,أجدع حاجة ان التيتى قصدى السيسى كل ما يحاول يعمل شو اعلامى فى صورة تقلب عليه هاشتاج سخرية وده يبين انه حمار اخر حاجة السيسى هايصالح
782 _ _ _ و انتي طيبة يا حنان و كل الناس بخير :),1,و انتي طيبة يا حنان و كل الناس بخير
تبقى بجد في كوكب القرود إذا إفتكرت إن شعبيتك تزيد بممارسة التسويف والقمع والتدليس والنفاق لتبجيل وتبرير ديكتاتورية فجَّة,1,تبقى بجد في كوكب القرود إذا إفتكرت إن شعبيتك تزيد بمارسة التسويف والقمع والتدليس والنفاق لتبجيل وتبرير ديكتاتورية فجة
فوشيا+موف+بنّي+دهبي+ ٢ كيلو دقيق أبيض تحت العينين ياااااظلمة س,1,فوشيا موف بني دهبي كيلو دقيق أبيض تحت العينين ياظلمة س
هو ممكن ت #نزل_صلاح :( #ليلة_الابطال,1,هو مكن ت نزل صلاح ليلة الابطال
صفوت حجازي: و سوف تصبح العريش عاصمة للولايات العربية المتحدةبس نتلايم عليها الاول,1,صفوت حجازي و سوف تصبح العريش عاصمة لولايات العربية المتحدةبس نتلايم عليها الاول
أنا راجع من الساحل وسأسعى للحضورًباذن الله الف مبروك,1,أنا راجع من الساحل وسأسعى لحضورباذن اله الف مبروك
#مصر_الليلة فياض: الانقلابيون فعلوا ما لم يفعله كفار قريش عبر,1,مصر اليلة فياض الانقلابيون فعلوا ما لم يفعله كفار قريش عبر
كلام أم الشهيد محمد مصطفى بيجيب من الآخر: مرسي كذب في وعوده,1,كلام أم الشهيد محمد مصطفى بيجيب من الآخر مرسي كذب في وعوده
جملة اعتراضية ـــــــــــــــــــــــــــــــ هل هذه الانتخابات عادلة ؟!,1,جملة اعتراضية هل هذه الانتخابات عادلة
#جمعية_الاقل_من1000_فولورز أدركوا اللحظه لن تنعموا بالفولورز مرة اخرى المجد للكادحين لقد ولى زمن النخب,1,جمعية الاقل من فولورز أدركوا الحظه لن تنعموا بالفولورز مرة اخرى المجد لكادحين لقد ولى زمن النخب
اذا أجريت الانتخابات بنفس القضاة والضباط الذين اشرفوا على التزوير بنفس النائب العام مع احالة من يعترض الى محاكمة عسكرية النتيجة معروفة,1,اذا أجريت الانتخابات بنفس القضاة والضباط الذين اشرفوا على التزوير بنفس النائب العام مع احالة من يعترض الى محاكمة عسكرية النتيجة معروفة
هو انا عشان بعمل الصح وبغير من نفسى للأحسن ابقى كده معقده #مجتمع_مريض #حافظ_مش_فاهم :),1,هو انا عشان بعمل الصح وبغير من نفسى لأحسن ابقى كده معقده مجتمع مريض حافظ مش فاهم
عندما تغيب الدولة أو تعمل فيها عبده العبيط، تصبح القاعدة التي لا بد من إتباعها: من جاء ليعمل معك المعروف فافعل معه المنكر,1,عندما تغيب الدولة أو تعمل فيها عبده العبيط تصبح القاعدة التي لا بد من إتباعها من جاء ليعمل معك المعروف فافعل معه المنكر
#اعتراف انا بكره الناس اللي بتخسر اعز صحاب عليها علشان خاطر حاجه مالهاش لازمه ـ انا فعلا بكره #الكوره و,1,اعتراف انا بكره الناس الي بتخسر اعز صحاب عليها علشان خاطر حاجه مالهاش لازمه انا فعلا بكره الكوره و
صامت على الانقلاب مثل رجل شاهد خيانة زوجته فشرب عصير ليمون سئل:ماذا فعلت قال:عملو ليمون لنفسهم,1,صامت على الانقلاب مثل رجل شاهد خيانة زوجته فشرب عصير ليمون سئل ماذا فعلت قال عملو ليمون لنفسهم
يارب يا احمد يا ابن سمير يجيلك زهايمر انت و صلاح سليمان و هانى سعيد علشان تنسو نادى الزمالك ده يين و منشوفش وش اللى جبوكو تانى #زملكاوى,1,يارب يا احمد يا ابن سمير يجيلك زهايمر انت و صلاح سليمان و هانى سعيد علشان تنسو نادى الزمالك ده ين و منشوفش وش الى جبوكو تانى زملكاوى
من المؤسف ان يتراجع الرئيس عن وعوده لقد وعد الرئيس مرسي المصريين بإصلاح تشكيل لجنة الدستور وهاهو يتراجع عن وعده وينقض العهد شيء معيب,1,من المؤسف ان يتراجع الرئيس عن وعوده لقد وعد الرئيس مرسي المصرين بإصلاح تشكيل لجنة الدستور وهاهو يتراجع عن وعده وينقض العهد شيء معيب
إخفاء الحقيقة بحجة ان الرئيس يعلم ما لانعلمه وهو بيده الامر ويعرف مصلحتنا فكرة خانعة تكرس لتهميش المواطن واحتقاره الرئيس موظف عند الشعب,1,إخفاء الحقيقة بحجة ان الرئيس يعلم ما لانعلمه وهو بيده الامر ويعرف مصلحتنا فكرة خانعة تكرس لتهميش المواطن واحتقاره الرئيس موظف عند الشعب
لك منا كل احترام وتقدير يا اخلص وانظف وانقي رئيس وزراء في مصردهشام قنديل #اعتذروا_لهشام_قنديل #مرسي_رئيسي #انتخبوا_العرص #انصاف_الاخوان,1,لك منا كل احترام وتقدير يا اخلص وانظف وانقي رئيس وزراء في مصردهشام قنديل اعتذروا لهشام قنديل مرسي رئيسي انتخبوا العرص انصاف الاخوان
بيدونا اجازة فى عيد العمال عشان نقعد فى البيت نتفرج على فيلم الايدى الناعمة،حرام والله #أوقفوا_الفحم,1,بيدونا اجازة فى عيد العمال عشان نقعد فى البيت نتفرج على فيلم الايدى الناعمةحرام واله أوقفوا الفحم
#الببلاوي #أنتخبوا_العرص #الهاشتاج,1,البلاوي أنتخبوا العرص الهاشتاج
هو توفيق عكاشة مش راح للعرص ليه ؟؟؟؟ #انتخبوا_العرص,1,هو توفيق عكاشة مش راح لعرص ليه انتخبوا العرص
أنا ضد أنا يكون نائبي إمراة أو مسيحي من أجل دعاية انتخابية ولكن سيتم إختيار الاكفأ في كل مجال سواء # #,1,أنا ضد أنا يكون نائبي إمراة أو مسيحي من أجل دعاية انتخابية ولكن سيتم إختيار الاكفأ في كل مجال سواء
اوعى تهدم بلدك - قصة صاحبة القصر,1,اوعى تهدم بلدك قصة صاحبة القصر
بلطجة الإخوان والإعتداء على الإعلاميين بمحيط اكاديمية الشرطة #السادة_المحترمون,1,بلطجة الإخوان والإعتداء على الإعلامين بمحيط اكاديمية الشرطة السادة المحترمون
المفسد عادل فقيه #عادل -فقيه -وزير-للصحه,1,المفسد عادل فقيه عادل فقيه وزير لصحه
6 أما طائفة مبرري الاستبداد والسائرين في ركب الإخوان الذين دافعوا عن إعلان الاستبداد واشتركوا في جريمة الدستور، لن تفيدكم بهلوانيتكم اليوم,1,أما طائفة مبري الاستبداد والسائرين في ركب الإخوان الذين دافعوا عن إعلان الاستبداد واشتركوا في جريمة الدستور لن تفيدكم بهلوانيتكم اليوم
اذا عرفنا ان الذين اتخذوا قرار فض الاعتصام بالقوة لا يؤمنون باليوم الاخر ولا بالجنة ولا بالنار استراح عقلنا المندهش,1,اذا عرفنا ان الذين اتخذوا قرار فض الاعتصام بالقوة لا يؤمنون باليوم الاخر ولا بالجنة ولا بالنار استراح عقلنا المندهش
فأن متشدقين بالدفاع عن الحريات يرفضون الرأي الآخر ويقصون المختلفين معهم بديكتاتورية,1,فأن متشدقين بالدفاع عن الحريات يرفضون الرأي الآخر ويقصون المختلفين معهم بديكتاتورية
لو حد قال بعد كدا الإخوان مصريين أوفصيل وطنى لازم يتحاكم بتهمة الخيانة أو الغباء!!,1,لو حد قال بعد كدا الإخوان مصرين أوفصيل وطنى لازم يتحاكم بتهمة الخيانة أو الغباء
الانقلاب ينهب اموال الناس من البنوك وغدا يرحل ويترك المجتمع خرابة من يرد للناس يومئذ فلوسهم,1,الانقلاب ينهب اموال الناس من البنوك وغدا يرحل ويترك المجتمع خرابة من يرد لناس يومئذ فلوسهم
#الداخلية_بلطجية واقعة الاعتداء على الزميلة م/ #داليا_رضوان,1,الداخلية بلطجية واقعة الاعتداء على الزميلة م داليا رضوان
الضعف الانتخابي والجماهيري لا يقتصر على الأحزاب الجديدة ويطال بكل تأكيد قوى راسخة في المشهد السياسي إلا أن عقود سلطوية مبارك الطويلة أنهكتها,1,الضعف الانتخابي والجماهيري لا يقتصر على الأحزاب الجديدة ويطال بكل تأكيد قوى راسخة في المشهد السياسي إلا أن عقود سلطوية مبارك الطويلة أنهكتها
إغلاق حسابين على تويتر ينشران فضائح الفساد بسبب #أردوغان #الاخوان_جماعة_ارهابية #تركيا #قمع,1,إغلاق حسابين على تويتر ينشران فضائح الفساد بسب أردوغان الاخوان جماعة ارهابية تركيا قمع
نصر محروس,1,نصر محروس
منع برنامج الاراجوز باسم يوسف والقضاء اغلق كل القنوات المحترمة قتلوا حرية الرأى والاعلام وحرقوها,1,منع برنامج الاراجوز باسم يوسف والقضاء اغلق كل القنوات المحترمة قتلوا حرية الرأى والاعلام وحرقوها
حوار الطرشان,1,حوار الطرشان
البرادعى شريك الانقلاب يهاجم الجيش والشرطة والحكومة والاعلام ويصفها بالفاشية ضد قيمة الحياة الانسانية والتوافق الوطنى لن يفلت ايضا من العقاب,1,البرادعى شريك الانقلاب يهاجم الجيش والشرطة والحكومة والاعلام ويصفها بالفاشية ضد قيمة الحياة الانسانية والتوافق الوطنى لن يفلت ايضا من العقاب
_ مبارك سحبه مرتين بالفعل راجع معلوماتك,1,مبارك سحبه مرتين بالفعل راجع معلوماتك
اليوم السابع مش بتاعة نجيب!,1,اليوم السابع مش بتاعة نجيب
لن نسمح أن يزج بنا فى حرب أخرى وتدخلنا بـ #سوريا و #أوكرانيا من أجل الحل السلمي#أميركا #العرب,1,لن نسمح أن يزج بنا فى حرب أخرى وتدخلنا ب سوريا و أوكرانيا من أجل الحل السلميأميركا العرب
الولد اللي بيقبل يتشتم ب امه حتى لو هزار و يقلب الدنيا لو حد جاب اسم صاحبته بس #استرجل كده عشان امك اللي بقيالك و تعبت عشانك,1,الولد الي بيقبل يتشتم ب امه حتى لو هزار و يقلب الدنيا لو حد جاب اسم صاحبته بس استرجل كده عشان امك الي بقيالك و تعبت عشانك
مصر دوله اوضتين وصاله اوضه للمشير واوضه للمرشد والشعب ينام ف الصاله #المادة_لاولى,1,مصر دوله اوضتين وصاله اوضه لمشير واوضه لمرشد والشعب ينام ف الصاله المادة لاولى
تخيل احساس ظابط الشرطة الى عارف انه مستهدف في كل ثانية من اليوم وفي كل حركة بيعملها حتى لو بعيدة عن طبيعة عمله #الاخوان_جماعة_ارهابية,1,تخيل احساس ظابط الشرطة الى عارف انه مستهدف في كل ثانية من اليوم وفي كل حركة بيعملها حتى لو بعيدة عن طبيعة عمله الاخوان جماعة ارهابية
"بجد كدة اوفر اوفر "" انت قررت تنتخب السيسى!! مع ان حمدين صحبك وكنت معاه!! وكأن افكار السيسى غير افكار حمدين!! #محمود سعد #متآ…",1,بجد كدة اوفر اوفر انت قرت تنتخب السيسى مع ان حمدين صحبك وكنت معاه وكأن افكار السيسى غير افكار حمدين محمود سعد متآ
اشاعةمن اشاعات الفيس بوك,1,اشاعةمن اشاعات الفيس بوك
اللى حصل مع محمود شعبان فى التحرير أفترا عليه لأنه ضعيف هي دى اخلاق الثوره مش اخ…,1,الى حصل مع محمود شعبان فى التحرير أفترا عليه لأنه ضعيف هي دى اخلاق الثوره مش اخ
بيع متابعين #السعودية #الكويت #برشلونة #النصر #الهلال #الإتحاد #الإمارات #الرياض #الدمام #بوح #عمان #دبي #جدة 051,1,بيع متابعين السعودية الكويت برشلونة النصر الهلال الإتحاد الإمارات الرياض الدمام بوح عمان دبي جدة
المصري بيقول حزام ناسف و الشروق بيقول سيارة مستفخخة و الأهرام بيقول شنطة مدارس قوم اوقف ونتا بتكلمني,1,المصري بيقول حزام ناسف و الشروق بيقول سيارة مستفخة و الأهرام بيقول شنطة مدارس قوم اوقف ونتا بتكلمني
خبراء زراعيون: الشون الزراعية سبب إهدار كميات كبيرة من #القمح وسعر الاردب غير مرضي للفلاح # #مصر,1,خبراء زراعيون الشون الزراعية سب إهدار كميات كبيرة من القمح وسعر الاردب غير مرضي لفلاح مصر
ازاي واحد من المفترض انه محترف سياسة يتحدث عن المصالحة، تقدر لو رجعت الناس الي اتقتلت لأهاليها، غير كدة متعن…,1,ازاي واحد من المفترض انه محترف سياسة يتحدث عن المصالحة تقدر لو رجعت الناس الي اتقتلت لأهاليها غير كدة متعن
كلما رأيت أطفالا مشردين ، جائعين ، محاصرين ، لاجئين ، نازحين ، أشعر بالخيانة ، الخيانة فقط #سوريا #أطفال_سوريا …,1,كلما رأيت أطفالا مشردين جائعين محاصرين لاجئين نازحين أشعر بالخيانة الخيانة فقط سوريا أطفال سوريا
#السيسي عروسة في إيدين #المجلس_العسكري,1,السيسي عروسة في إيدين المجلس العسكري
#نجيب_ساويرس يتحكم ف النادي الاهلي! احمد سعيد رئيس حزب #ساويرس اصبح نائب رئيس #الاهلي بدل من محمد عبد الوهاب صاحب التاريخ الكبير!,1,نجيب ساويرس يتحكم ف النادي الاهلي احمد سعيد رئيس حزب ساويرس اصبح نائب رئيس الاهلي بدل من محمد عبد الوهاب صاحب التاريخ الكبير
#اليوم_السافل : #الاخوان يحرضون على #اضراب_الاطباء !! #خالد_صلاح رمز السقالة,1,اليوم السافل الاخوان يحرضون على اضراب الاطباء خالد صلاح رمز السقالة
فلتذهبوا الى الجحيم #الحرس_الجامعي,1,فلتذهبوا الى الجحيم الحرس الجامعي
تدهور الحالة الصحيّة لعائلات شهداء وجرحى #الثورة المضربين عن الطعام,1,تدهور الحالة الصحية لعائلات شهداء وجرحى الثورة المضربين عن الطعام
أسف يا ريس،رغم إنتمائي للأخوان إلا أنني إبن ثورة الحرية لذلك ارفض السلطات المطلقة للرئيس مهما كانت السبب وأي كانت المدة,1,أسف يا ريسرغم إنتمائي لأخوان إلا أني إبن ثورة الحرية لذلك ارفض السلطات المطلقة لرئيس مهما كانت السب وأي كانت المدة
واضح ان بالنسبة لهم لحوم العلماء مسمومة الا لو كانت لحوم المفتي و شيخ الازهر,1,واضح ان بالنسبة لهم لحوم العلماء مسمومة الا لو كانت لحوم المفتي و شيخ الازهر
#هننضف_لو بطلنا نحكم على الناس من شكلهم و لبسهم و تمن خروجاتهم و انهم بيعرفوا انجلش ولا ﻷ !,1,هنضف لو بطلنا نحكم على الناس من شكلهم و لبسهم و تمن خروجاتهم و انهم بيعرفوا انجلش ولا
مصر مدرسة القمع الحديثة ولهذا ينتشر الضباط حاليا فى المدارس,1,مصر مدرسة القمع الحديثة ولهذا ينتشر الضباط حاليا فى المدارس
كل ما كان يرفضه الاخوان من خطايا الحزب الوطني البرلمانية و إجرامه التشريعي أصبحوا يتبنونه الانمسخرة,1,كل ما كان يرفضه الاخوان من خطايا الحزب الوطني البرلمانية و إجرامه التشريعي أصبحوا يتبنونه الانمسخرة
عبد_الرحيم_علي: 30 ديسمبر القادم سيشهد اختفاء #باسم_يوسف من الساحة الإعلامية #باسم_طلع_حرامي,1,عبد الرحيم علي ديسمبر القادم سيشهد اختفاء باسم يوسف من الساحة الإعلامية باسم طلع حرامي
ندين اعمال العنف التي لجات لها عناصر تخريبية في محيط مبني جامعة الدول العربية #السادة_المحترم…,1,ندين اعمال العنف التي لجات لها عناصر تخريبية في محيط مبني جامعة الدول العربية السادة المحترم
شاهد - آخر كلام: سد النهضة ما ينبغي على مصر فعله #,1,شاهد آخر كلام سد النهضة ما ينبغي على مصر فعله
اللي ضد تطهير الداخلية هو مرسي وجماعته وماحدش منعهم عن دهوياريت تورينا شطارة نقدك على كذب الرئيس وجماعته وفشلهم الذريع,1,الي ضد تطهير الداخلية هو مرسي وجماعته وماحدش منعهم عن دهوياريت تورينا شطارة نقدك على كذب الرئيس وجماعته وفشلهم الذريع
شايفين العيب و الغلط ومبنسالش حتى ليه وكل واحد بيقول هو يعنى بايدى ايه !! #كاريوكى,1,شايفين العيب و الغلط ومبنسالش حتى ليه وكل واحد بيقول هو يعنى بايدى ايه كاريوكى
أزمة الفكر فى مصر أن الأعلى صوتاً لا يقول شيئاً والأكثر حكمة لا يسمعه أحد,1,أزمة الفكر فى مصر أن الأعلى صوتا لا يقول شيئا والأكثر حكمة لا يسمعه أحد
هل عمرك قابلت حد بيفهم وفي نفس الوقت بيدعم المتأسلمين عن قناعة مش للمصلحة؟,1,هل عمرك قابلت حد بيفهم وفي نفس الوقت بيدعم المتأسلمين عن قناعة مش لمصلحة
و زي ما الإخوان و السلفيين اعتبروني عدو للإسلام كتير من الإعلاميين اللي وقفوا معايا حيقلبوا عليا قريب جداً الفاشية لا دين لها,1,و زي ما الإخوان و السلفين اعتبروني عدو لإسلام كتير من الإعلامين الي وقفوا معايا حيقلبوا عليا قريب جدا الفاشية لا دين لها
ببساطة هذا الدستور بُني على باطل ولذلك فهو حتما سيقود إلى باطل مرسي كذب على المصريين من أجل تمرير هذا الدستور ولا يمكن أن يفلح من يكذب أبدا,1,بساطة هذا الدستور بني على باطل ولذلك فهو حتما سيقود إلى باطل مرسي كذب على المصرين من أجل تمرير هذا الدستور ولا يمكن أن يفلح من يكذب أبدا
المظاهرات أمام سفارة #الامارات_عاهرة_الخليج في #جمعة_الحسم #راجعين_30 #الانقلاب_العسكري,1,المظاهرات أمام سفارة الامارات عاهرة الخليج في جمعة الحسم راجعين الانقلاب العسكري
فى زمن الانقلاب قتل المسلم الملتحى فى مصر ليس ارهابا هى الحرب على الاسلام واستعطاف الغرب نحو الاقباط,1,فى زمن الانقلاب قتل المسلم الملتحى فى مصر ليس ارهابا هى الحرب على الاسلام واستعطاف الغرب نحو الاقباط
4) إلا أن تركيز السلطات التشريعية والتنفيذية بين يدي الرئيس مرفوض ويثير المزيد من المخاوف بشأن احتكار السلطة من جانب فصيل واحد,1,إلا أن تركيز السلطات التشريعية والتنفيذية بين يدي الرئيس مرفوض ويثير المزيد من المخاوف بشأن احتكار السلطة من جانب فصيل واحد
قوات من #الشرطة و #العسكر لقتل #الطلبة مش ناسيين #عمرو_خلاف #محمد_عادل #شريف_عاطف وغيرهم كتييييير,1,قوات من الشرطة و العسكر لقتل الطلبة مش ناسين عمرو خلاف محمد عادل شريف عاطف وغيرهم كتير
عاد إلى مصر خطاب دعائي تحريضي ينتمي إلى مرحلة الستينيات مصر تعود للوراء حتى رئيس الحكومة لا يتوقف عن تمجيد السيسي وهو مجرد …,1,عاد إلى مصر خطاب دعائي تحريضي ينتمي إلى مرحلة الستينيات مصر تعود لوراء حتى رئيس الحكومة لا يتوقف عن تمجيد السيسي وهو مجرد
الاشتباكات اللي حصلت يتحملها الجميع لكن الخطأ السياسي كان القرار بالدعوة لمظاهرة مؤيدة للرئيس في نفس مكان وزمان مظاهرة معارضة,1,الاشتباكات الي حصلت يتحملها الجميع لكن الخطأ السياسي كان القرار بالدعوة لمظاهرة مؤيدة لرئيس في نفس مكان وزمان مظاهرة معارضة
في بنات مستحيل تحط صورها على الفيس لو هيقتلوها ، بس تويتر عادي !! عن #الازدواجية اتحدث,1,في بنات مستحيل تحط صورها على الفيس لو هيقتلوها بس تويتر عادي عن الازدواجية اتحدث
المشكلة من زمان لما اكتشفنا الغاز حولنا محطات الكهربا من مازوت لغاز ده كان كويس لان السولار اغلى سبع مرات,1,المشكلة من زمان لما اكتشفنا الغاز حولنا محطات الكهربا من مازوت لغاز ده كان كويس لان السولار اغلى سبع مرات
#الببلاوى: اعتبار #الإخوان #جماعة_إرهابية قرار سياسى وليس قانونيا (لن تنقذ رقبتك مهما حاولت أيها المجرم فدماء الآلاف في رقبتك وشركائك),1,البلاوى اعتبار الإخوان جماعة إرهابية قرار سياسى وليس قانونيا لن تنقذ رقبتك مهما حاولت أيها المجرم فدماء الآلاف في رقبتك وشركائك
أيامنا هذه هى أيام اختلال مفزع لمعايير الحكم على الأمور فى المجال العام فى مصر وفى بلاد العرب,1,أيامنا هذه هى أيام اختلال مفزع لمعاير الحكم على الأمور فى المجال العام فى مصر وفى بلاد العرب
دراما رمضان المصرية.. الكباريه الكبير ,1,دراما رمضان المصرية الكباريه الكبير
"شاهد - آخر كلام: ""تأشيرة براني"" نصابون برخصة حكومية #",1,شاهد آخر كلام تأشيرة براني نصابون برخصة حكومية
#خالد_بن_الوليد قتل رجل مسلم وتزوج امراته في نفس اليوم بلا عدة بلا بطيخ,1,خالد بن الوليد قتل رجل مسلم وتزوج امراته في نفس اليوم بلا عدة بلا بطيخ
صناعة الكذب ! #الجزيرة,1,صناعة الكذب الجزيرة
#فيفي_عبده_الام_المثالية اصلا صارت كلمة مثاليه الحين سبه عجبكم كذا طيب امشي يابن المثاليه,1,فيفي عبده الام المثالية اصلا صارت كلمة مثاليه الحين سبه عجبكم كذا طيب امشي يابن المثاليه
هو المتقاعد #حمدي_قنديل هيظهر قبل كل انتخابات يلبسنا في الحيط بس ولا ايه؟ هو افتكرنا نسينا دعمه و مساندته مرسي,1,هو المتقاعد حمدي قنديل هيظهر قبل كل انتخابات يلبسنا في الحيط بس ولا ايه هو افتكرنا نسينا دعمه و مساندته مرسي
فضلوا يبرروا بمعايير بيئية صارمة لاستخدام الفحم في مصانع الاسمنت وفي الآخر سمحوا باستخدام الفحم بدون موافقة البيئة #أوقفوا_الفحم,1,فضلوا يبروا بمعاير بيئية صارمة لاستخدام الفحم في مصانع الاسمنت وفي الآخر سمحوا باستخدام الفحم بدون موافقة البيئة أوقفوا الفحم
لو التعريص بقى رياضة وأنضم للأولومبياد علاء صادق هياخد الذهبيه !,1,لو التعريص بقى رياضة وأنضم لأولومبياد علاء صادق هياخد الذهبيه
ماذا فعلت مؤسسات الدولة لشرح مسودة الدستور للأميين؟ لمن يذهب الأمي الذي سيصوت على الدستور ليفهم محتواه؟ كيف نقبل هذه المسرحية الرديئة؟,1,ماذا فعلت مؤسات الدولة لشرح مسودة الدستور لأمين لمن يذهب الأمي الذي سيصوت على الدستور ليفهم محتواه كيف نقبل هذه المسرحية الرديئة
العالم بيتجه للتقليل المنتظم والمستمر من اعتماده على الفحم ومصر عايزة تزيد منه! #أوقفوا_الفحم,1,العالم بيتجه لتقليل المنتظم والمستمر من اعتماده على الفحم ومصر عايزة تزيد منه أوقفوا الفحم
حملة شباب #ضد_النقطتين ، #ضد_النئطتين ، #ضد_النجطتين ، #ضد_النغطتين بجميع الألسن كي يفهم الجميع وسلامتكم #بكفي_حصار #اضبطوا_شركاء_المخلوع,1,حملة شباب ضد النقطتين ضد النئطتين ضد النجطتين ضد النغطتين بجميع الألسن كي يفهم الجميع وسلامتكم بكفي حصار اضبطوا شركاء المخلوع
مجازر سوريا مستمرةأين الأمم المتحدة من حماية الأبرياء؟ أين العروبة والقيم التي لا نتوقف عن التشدق بها؟ الأنظمة في كل مكان تتعري أمام شعوبها,1,مجازر سوريا مستمرةأين الأم المتحدة من حماية الأبرياء أين العروبة والقيم التي لا نتوقف عن التشدق بها الأنظمة في كل مكان تعري أمام شعوبها
عودة جماعة الإخوان إلى الحياة السياسية بنفس وضعها السابق مستحيلة والطرمخة على جرائم الماضي لن تجعلنا نتقدم شبرا,1,عودة جماعة الإخوان إلى الحياة السياسية بنفس وضعها السابق مستحيلة والطرمخة على جرائم الماضي لن تجعلنا نتقدم شبرا
كنت تأجل وتيجي منك بجميلة وتعمل فيها قعر مجلس وكبير العائلة بس هتقول إيه الغباء السياسي صنعة,1,كنت تأجل وتيجي منك بجميلة وتعمل فيها قعر مجلس وكبير العائلة بس هتقول إيه الغباء السياسي صنعة
صدور قانون تشكيل الأحزاب دون أي حوار ونفس الحال بـالنسبة لقانون مباشرة الحياة السياسية يقلص مضمون أي حوار وطني ويفقده جانب كبير من مصداقيته,1,صدور قانون تشكيل الأحزاب دون أي حوار ونفس الحال بالنسبة لقانون مباشرة الحياة السياسية يقلص مضمون أي حوار وطني ويفقده جانب كبير من مصداقيته
التحريض و خطاب الكراهية و المتاجرة بالدين ليست حرية رأي بل جريمة يدفع الوطن ثمنها في الشارع الآن هذه قنوات فتنة و ليست دينية,1,التحريض و خطاب الكراهية و المتاجرة بالدين ليست حرية رأي بل جريمة يدفع الوطن ثمنها في الشارع الآن هذه قنوات فتنة و ليست دينية
#احمد_ادم بقى بضان فشخ مش لاقي غير #باسم يوسف,1,احمد ادم بقى بضان فشخ مش لاقي غير باسم يوسف
انتي اصلا مافيك فايده #كلمه_بتتقال_في_البيت_كل_يوم,1,انتي اصلا مافيك فايده كلمه بتقال في البيت كل يوم
أخبار تل أبيض || اتحاد تنسيقيات شباب الكورد في سوريا - تنسيقية الرقة - تحذير و نداء #هام جداُ - داعش,1,أخبار تل أبيض اتحاد تنسيقيات شباب الكورد في سوريا تنسيقية الرقة تحذير و نداء هام جدا داعش
الحمد لله بسمة قامت بالسلامة، وربنا رزقنا بنادية,1,الحمد له بسمة قامت بالسلامة وربنا رزقنا بنادية
